owner,tickLower,tickUpper,Margin,Pending Settlement Cashflow,seized margin,surplus margin,Balance pre Protocol contribution,Protocol contribution,takeHome
0x003e573eda70d3357c55a403e446d6d9a6d84387,-17940,-10980,916.255098,-23929.32215,916.255098,0,0,0,0
0x003e573eda70d3357c55a403e446d6d9a6d84387,-69060,0,0,0,0,0,0,0,0
0x01a8867091917b01b2726527d12bf6e590269c2f,-15060,-9180,919.235188,-9895.829762,919.235188,0,0,0,0
0x01a8867091917b01b2726527d12bf6e590269c2f,-69060,0,0,0,0,0,0,0,0
0x020b0d4c844e0dbca51c9ab779df0191978c0359,-10980,-6960,0.6696,0,0,0.6696,0.03067602862,0.6389239714,0.6696
0x020df0cfe9e468d4c091d90c74ca72100859f87a,-69060,0,0,0,0,0,0,0,0
0x02c5c40425610293b93e2cafaa521ea1e93a6b5e,-16080,0,0.963924,0,0,0.963924,0.04415973748,0.9197642625,0.963924
0x02c5c40425610293b93e2cafaa521ea1e93a6b5e,-16080,9180,0.110018,-0.000079,0.000079,0.109939,0.005036576928,0.1049024231,0.109939
0x02c5c40425610293b93e2cafaa521ea1e93a6b5e,-69060,0,510.671214,-153.571419,153.571419,357.099795,16.35962296,340.740172,357.099795
0x04f28c2820ac20c1fbe4d2c3268f2bd2e5ad490f,-15060,-6960,1011.27032,-44.712535,44.712535,966.557785,44.28039767,922.2773873,966.557785
0x04f28c2820ac20c1fbe4d2c3268f2bd2e5ad490f,-69060,0,0.000872,5.845538,0,0.000872,3.99E-05,5.846370052,5.84641
0x055790737e8d8213072d54648088c157afd695dc,-23040,6960,1.814261,-0.255773,0.255773,1.558488,0.07139818175,1.487089818,1.558488
0x055790737e8d8213072d54648088c157afd695dc,-69060,0,0.001142,0.056091,0,0.001142,5.23E-05,0.05718068216,0.057233
0x063f1e7237e95a004ea7508ef9fd357c943f1b88,-23040,23040,0.000001,0,0,0.000001,4.58E-08,9.54E-07,0.000001
0x06a41d17bdae691618a5216bd44a4445269a013f,-69060,0,0,0,0,0,0,0,0
0x0a3fbf4faf02f7b30d739286e34eedb6e5ff05cf,-23040,0,0.004,0,0,0.004,0.0001832498723,0.003816750128,0.004
0x0a5c7480c4e44ff77a4cc92f52a1db5085f08741,-69060,0,0,0,0,0,0,0,0
0x0c3caa2a91900727e3cbd8f47dfd79ca96b9f8b2,-23040,-6960,8.432068,-105.267909,8.432068,0,0,0,0
0x0f1468a9dd8d9165e8a2b7b942fee0e7b65642f6,-12180,-11640,578.081593,-1270.229258,578.081593,0,0,0,0
0x0f1468a9dd8d9165e8a2b7b942fee0e7b65642f6,-69060,0,0.001257,0.010739,0,0.001257,5.76E-05,0.01193841373,0.011996
0x0f46a5d6c8bc974eef4de5d1d3ead5e28ace889f,-15060,-9960,928.307999,-8304.803075,928.307999,0,0,0,0
0x0f46a5d6c8bc974eef4de5d1d3ead5e28ace889f,-69060,0,0,0,0,0,0,0,0
0x0fc9e86eca2eff7cd9eb10acde74fdec24436448,-10980,-6960,1010,0,0,1010,46.27059276,963.7294072,1010
0x0fc9e86eca2eff7cd9eb10acde74fdec24436448,-69060,0,0.036589,343.519154,0,0.036589,0.001676232394,343.5540668,343.555743
0x0fd90b9d61af052c4328bc2fa9a1529627af0a7d,-69060,0,5017.002056,14.133204,0,5017.002056,229.8412465,4801.294013,5031.13526
0x10bd976423f15912ac4a437357c2ea7fb7b572e9,-16080,0,1.498325,-0.052118,0.052118,1.446207,0.06625431202,1.379952688,1.446207
0x126b5b3919f31597ebcfb418c5f7db4e6dcc2123,-69060,0,0,0,0,0,0,0,0
