owner,tickLower,tickUpper,netMarginDeposited pre Rewards,netMarginDeposited,realizedPnL,seized for rPnL,balance after rPnL,unrealizedPnL,seized uPnL,final rpnl settlement,upnl settlement,takeHome
0x79183df82d5646d0e3e6e1f836ac83e3deec481d,-12360,-12120,552.486188,488.16755,-3468.17176,488.16755,0,-5.217881753,0,0,0,0
0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,-21960,-21420,108.539339,108.539339,-127.0359234,108.539339,0,-1.257686932,0,0,0,0
0x555da6a5c851420c8f9c4c23537d8e2bb9bca674,-11220,-11160,419.15284,387.089245,-2709.394732,387.089245,0,-6.619521855,0,0,0,0
0x79183df82d5646d0e3e6e1f836ac83e3deec481d,-69060,0,3841.451444,3841.451444,16639.14172,0,10368.89545,14160.39308,0,10111.69772,2523.981373,23004.57454
0x9d414b16c0f48836c45fcbafafc231166996f6ba,-11280,-11160,1016.8618,952.953492,-4130.584294,952.953492,0,-17.79712578,0,0,0,0
0x420fc858103a9803c6681a1179b524347b16d2c3,-13080,-10980,0.004883,0.004283,0.001434507922,0,0.004845749587,-0.03881590701,0.004845749587,0.0008717583347,0,0.0008717583347
0x420fc858103a9803c6681a1179b524347b16d2c3,-12660,-10980,0.000962,0.000907,0.0001302456432,0,0.0009580946512,-0.003523667656,0.0009580946512,7.92E-05,0,7.92E-05
0x41f346e02be3f95d59d9b85ec4c58b35bb522f6f,-13860,-10980,0.00463,0.003966,-0.0218863441,0.003966,0,-0.00000103,0,0,0,0
0xcf87e36ba1fec4170823d099411eebad02658082,-14340,-10980,2.5986,1.99561,-129.0671725,1.99561,0,-0.08683262415,0,0,0,0
0x280dd754632db4b25a094f3ba01b6726ebac6600,-11940,-10980,65.417951,61.761014,-221.1398743,61.761014,0,-0.2732854925,0,0,0,0
0x95e4d54c8eff8d022f926f48643324329ceec6ba,-28020,-20820,0.29,0.29,-0.1800507994,0.1800507994,0.1099492006,4.956603299,0,0,0.8834764918,0.9934256924
0xf06f2f7284cc16b5e22bd5e19dd350c08927e1a1,-11640,-10980,385,362.964105,-1888.370153,362.964105,0,-0.2818254386,0,0,0,0
0x79f068b367e7cea204c1a1404f664c7c9b45542e,-11640,-10980,27.352908,25.823146,-92.62940322,25.823146,0,-0.2169026794,0,0,0,0
0x22d0443a535dba8fe21f8edc3da73d2547a81b92,-12360,-10260,20,17.286752,-118.6826778,17.286752,0,-0.009708543466,0,0,0,0
0x89c3f579b1e56f1d48350525bfe79301afe4fb57,-11220,-11160,55.130092,40.416198,-1347.578662,40.416198,0,-33.46273493,0,0,0,0
0x5021a4ea6b544214ae6ed0e344f89255d85ba627,-11220,-11160,289,244.577027,-4340.758026,244.577027,0,-32.53923003,0,0,0,0
0x917e47d5225c17f9a6cc88db23f04e3a1c9b9df2,-11220,-11160,389.67663,362.629004,-2101.522121,362.629004,0,-36.28055978,0,0,0,0
0x48e0d2c4be37c9d4e971597fbab155b6db4736af,-12780,-11340,0.1,0.082852,-0.7093335285,0.082852,0,-0.0002167051674,0,0,0,0
0x6ca6c91ef1c74e3f9046b0838229b8ea56189504,-11280,-11100,-92.049437,-98.254887,-544.0381827,-98.254887,0,-5.05226604,0,0,0,0
0x46abc34fa33d8191ae0120cb919777291627c699,-13860,-10980,1.6,1.31148,-13.36207996,1.31148,0,-0.0002846289501,0,0,0,0
0x46abc34fa33d8191ae0120cb919777291627c699,-12060,-11940,0.220589,0.195595,-1.422630514,0.195595,0,-0.00000000256,0,0,0,0
0x5403e2983874f255b261f1e4945f5d07954d820e,-11640,-10980,400,377.312399,-1819.073777,377.312399,0,-0.8876876817,0,0,0,0
0xf877bd0c6e05c84a05edb720557d0edbd4256660,-69060,0,515.591173,515.591173,-5.54639356,5.54639356,510.0447794,132.6092819,0,0,23.63658661,533.681366
0x462924bd96f30239b48aa53bd1b84094bbf2d0ab,-12540,-11640,0.08,0.075531,0.01052806895,0,0.07966110369,-0.2646056136,0.07966110369,0.006397965264,0,0.006397965264
0x45ea83bd03a944e2c420fbacb44cacf3c2b816d8,-19440,-6960,0.314,0.296133,-2.088706724,0.296133,0,-0.008620303605,0,0,0,0
0x45ea83bd03a944e2c420fbacb44cacf3c2b816d8,-17940,-10980,0.4328,0.408192,-2.88096543,0.408192,0,-0.00203442501,0,0,0,0
0xdb091ef1f66db55787d02bb78c8e88293ea36651,-11220,-11160,291.8788,269.47719,-2024.477577,269.47719,0,-34.76676667,0,0,0,0
0xdf146838df8b9f450122bbc4cb2570357e222c17,-23040,-19440,1001,1001,-25.09619295,25.09619295,975.9038071,-8.88E-13,8.88E-13,0,0,975.903807
0x32c02b34262f95fae57c157d7487ca498cda9fe4,-25680,-19440,0.44,0.44,-0.00243672021,0.00243672021,0.4375632798,1.08E-16,0,0,1.93E-17,0.4375632798
0x6e0c40adf39c21554ab2c7bf2fd7363e17b9e87a,-12240,-11940,31.19,29.414688,-201.9472546,29.414688,0,-2.991944674,0,0,0,0
0x52389c41efe5b2146e6d8863cd2f08f9347f1d60,-12540,-11940,-46,-55.151366,-1007.500201,-55.151366,0,-0.3911498538,0,0,0,0
0x61705ab3e4f1948216f1127cf5209f60006aab5d,-13860,-10980,195,167.649244,-910.1690785,167.649244,0,-0.03420744969,0,0,0,0
0xf72ec063014dd8f9f1fb67ec4f2ce5561d3b2e6f,-13860,-10980,-10.955455,-15.22911,-444.3779096,-15.22911,0,-0.08566039011,0,0,0,0
0x447ecaae10b7636ec328e3d340eef8005b25e1ee,-11640,-10980,-0.03,-0.049152,0.0224923248,0,0,-0.5439642176,0,0.01366870919,0,0.01366870919
0x41c5a74d1fb2240207027a78569af65969783fa1,-69060,0,1.002133,1.002133,-0.01857786026,0.01857786026,0.9835551397,-0.2483445816,0.2483445816,0,0,0.7352105581
0xa2fde9c915aa8cbcaa0de64db8f49014bc99289a,-11640,-10980,395,372.48422,-1805.268875,372.48422,0,-0.260464527,0,0,0,0
0xffc4583bc9204057b5b2e94b7922fab07e0486fd,-11160,-10980,-650.08717,-663.610228,-1069.538443,-663.610228,0,-3.665111485,0,0,0,0
0x20df6ea052e51948dc99e5b73f1e56d9c84843a5,-11700,-10980,343,322.268066,-1882.099259,322.268066,0,-0.8881952653,0,0,0,0
0x53cee0ee63ae98cf56c92a4cb4540c9654c8e934,-28440,-20820,1016.640319,1016.640319,19.36681689,0,1024.237815,-488.3675841,488.3675841,11.76932088,0,547.6395518
0x46a84bc3c1cfb5c77916f059e28d41de928f24d0,-12120,-12060,-214.964383,-235.812863,-1097.153406,-235.812863,0,-9.117424022,0,0,0,0
0x77499f678d5651b852b870ec07e8451f9d379b14,-11640,-10980,360,339.30746,-1782.123713,339.30746,0,-0.8738534314,0,0,0,0
0xdb091ef1f66db55787d02bb78c8e88293ea36651,-69060,0,24.469875,24.469875,303.9782464,0,143.7188733,0.02438269324,0,184.7292481,0.004346027912,328.4524674
0x02c5c40425610293b93e2cafaa521ea1e93a6b5e,-16080,0,38,35.055159,-253.2252022,35.055159,0,-0.006538688274,0,0,0,0
0x8073c62366973b9960f4561f6a72c5826b75e828,-10620,-7440,672.461539,629.18775,-2487.879377,629.18775,0,-0.3231689778,0,0,0,0
0xffc4583bc9204057b5b2e94b7922fab07e0486fd,-11160,-11100,-665,-696.247372,-2457.329586,-696.247372,0,-1.558193689,0,0,0,0
0x6f15f9d78325a25a3ed808c48b43a3af08b828dd,-10620,-7440,245,215.156522,-669.8983067,215.156522,0,-0.154602418,0,0,0,0
