owner,tickLower,tickUpper,Margin,Pending Settlement Cashflow,seized margin,surplus margin,Balance pre Protocol contribution,Protocol contribution,takeHome
0x319c117fbda2de5462cf63109fc275b7df910d60,-69060,0,0.00002,-0.000014,0.000014,0.000006,5.90E-06,9.95E-08,0.000006
0x32707a8329c1da69a7af1cc1824ab90662c877fa,-16080,23040,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x32707a8329c1da69a7af1cc1824ab90662c877fa,-21660,4800,1,-0.000072,0.000072,0.999928,0.9833437418,0.01658425818,0.999928
0x32707a8329c1da69a7af1cc1824ab90662c877fa,-69060,0,0.000698,0.008913,0,0.000698,0.0006864233543,0.008924576646,0.009611
0x329c53d2d05758eaf184de17b490bd5181459ca2,-23040,23040,1006.829892,-76.149442,76.149442,930.68045,915.2446938,15.43575624,930.68045
0x36527b0f83049ca694a9fde2970db591ae4f3299,-23040,23040,1007.180751,-76.177043,76.177043,931.003708,915.5625904,15.44111762,931.003708
0x36745a246da393c9faadb04f0e8a505cda372456,-16080,0,0.233057,0,0,0.233057,0.2291916442,0.003865355765,0.233057
0x36745a246da393c9faadb04f0e8a505cda372456,-23040,6960,0.367644,-0.211076,0.211076,0.156568,0.1539712489,0.002596751101,0.156568
0x36745a246da393c9faadb04f0e8a505cda372456,-69060,0,18.170931,24.745033,0,18.170931,17.86955789,25.04640611,42.915964
0x398e792451c8c986e88e0cbf6b9f46fd698bf3ac,-69060,0,1.538021,-0.366465,0.366465,1.171556,1.152125214,0.01943078619,1.171556
0x3a131bfe47775ef1ed2512f8e9401d29d93227b3,-16080,9180,0.100013,0.000094,0,0.100013,0.09835423916,0.001752760844,0.100107
0x3a131bfe47775ef1ed2512f8e9401d29d93227b3,-23040,6960,0.824402,0.610681,0,0.824402,0.8107289199,0.6243540801,1.435083
0x3a131bfe47775ef1ed2512f8e9401d29d93227b3,-69060,0,0.846588,1.656475,0,0.846588,0.8325469551,1.670516045,2.503063
0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,-69060,0,508.759964,3784.701343,0,508.759964,500.3219499,3793.139357,4293.461307
0x3b2f8c00cc8593d9cbd1ca644c44203e817e2c71,-69060,0,5021.000582,207.873481,0,5021.000582,4937.725016,291.1490468,5228.874063
0x3b2f8c00cc8593d9cbd1ca644c44203e817e2c71,9180,16080,1001.9479,0,0,1001.9479,985.3301409,16.61775914,1001.9479
0x3d3233156c7a58986f05b3f4c8c539c72502b107,-13380,-12540,952.329609,-48987.97907,952.329609,0,0,0,0
0x3d3233156c7a58986f05b3f4c8c539c72502b107,-69060,0,0.590865,0.00042,0,0.590865,0.5810652367,0.01021976329,0.591285
0x3de0dfc8c1d81fcbe82057d3c14e02c9cf37412a,-23040,23040,1007.48471,-76.204643,76.204643,931.280067,915.8343658,15.44570116,931.280067
0x3f62e4c7c23f540445534a9ce62e7b9be45333af,-14580,-11940,11455.5048,-8712.171837,8712.171837,2743.332963,2697.833545,45.49941809,2743.332963
0x4265fb52e31b1eab0193f36e9c3480deca79f9c6,-69060,0,503,-0.002037,0.002037,502.997963,494.6555143,8.342448739,502.997963
0x434a8637c93868106ee2b633cf524e02bf63a037,-10980,-6960,1,0,0,1,0.9834145477,0.01658545233,1
0x470d235ca1caff614abee02d98ac3aa89a6758bd,-13860,-10980,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x470d235ca1caff614abee02d98ac3aa89a6758bd,-13860,-12540,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x470d235ca1caff614abee02d98ac3aa89a6758bd,-69060,0,0.00099,-0.000116,0.000116,0.000874,0.0008595043147,1.45E-05,0.000874
0x48b068dd93d302be87d989c68a14a994234a530b,-16080,0,157.666192,-39.780581,39.780581,117.885611,115.9304248,1.955186182,117.885611
0x49f63b254ea9043e57678c13e06aef257fab45c1,-16080,-10980,16.344032,-1666.765781,16.344032,0,0,0,0
0x49f63b254ea9043e57678c13e06aef257fab45c1,-69060,0,0,0,0,0,0,0,0
0x4cafce7c2a2ff3ed743a2254cbd343b53db1db2c,-14340,-11640,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x4cbcf3f319d7a20d5fca93bbedbb57fb7f12e6f4,-12540,-12300,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x4cbcf3f319d7a20d5fca93bbedbb57fb7f12e6f4,-69060,0,0.174633,0.000056,0,0.174633,0.1717366327,0.002952367297,0.174689
0x4f49c34759b7e888ce77de9dd34fec63d63495cc,0,69060,24.739307,0,0,24.739307,24.3289944,0.410312597,24.739307
0x4f49c34759b7e888ce77de9dd34fec63d63495cc,-69060,0,0.219558,-0.198921,0.198921,0.020637,0.02029472602,0.0003422739798,0.020637
0x4f5ebba67dcdfa8bfaec752bde6400c0147a36c6,-69060,0,0.695766,-0.008495,0.008495,0.687271,0.6758722996,0.01139870041,0.687271
