owner,tickLower,tickUpper,Withdrawable amount,amount
0x1bc7c96dfe940422591d01b1799835872fa9e348,-76020,0,0.000005974867737,5974867736782
0x1bc7c96dfe940422591d01b1799835872fa9e348,-69060,0,0,0
0x1bc7c96dfe940422591d01b1799835872fa9e348,-6960,0,0,0
0x1c07496e046cfb49ed6d014d9f9e87dde62ccc71,-93060,0,0.000001059568976,1059568975900
0x1c07496e046cfb49ed6d014d9f9e87dde62ccc71,-69060,0,0,0
0x1c07496e046cfb49ed6d014d9f9e87dde62ccc71,-24000,0,0,0
0x1d44e5757175da337e15de275aec9483a484bfa2,-92100,23040,0.001145461362,1145461362382250
0x1d44e5757175da337e15de275aec9483a484bfa2,-69060,0,0,0
0x1d44e5757175da337e15de275aec9483a484bfa2,-23040,23040,0,0
0x1d9c7ff53542c5576e78a640439691cd6c01b119,-10980,-6960,0.00001,10000000000000
0x1df2535cf0956abec21c4738534885d3849d6578,-69060,0,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-1289460,-1208100,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-69060,0,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-40080,-39540,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-39720,-39300,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-39300,-38940,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-38700,-38280,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-38700,-38040,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-38280,-36900,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-38040,-36900,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-35580,-34020,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-34020,-32580,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-32580,-32280,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-32220,-31380,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-32040,-31920,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-31740,-31680,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-31560,-31380,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-31440,-31380,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-31380,-30840,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-30900,-30660,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-30780,-30720,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-30420,-30000,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-30360,-30240,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-30300,-30240,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-30240,-30180,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-30180,-30120,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-30180,-30000,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29940,-29880,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29880,-29820,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29820,-29700,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29640,-29580,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29580,-29520,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29400,-29340,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29340,-29280,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29280,-29220,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29280,-29160,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29220,-29160,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29220,-29100,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-29160,-29100,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-28980,-28920,0,0
0x1e0417f8002409c646c1cf337db9f0f9b88c3b5e,-28920,-28800,0,0
0x1f2f89d5baefbea6c6bed7d6ba3f7f86acfc939c,-69060,0,0.0000003552143188,355214318820
0x1f4c3b0526799592f55f1cab8d9f98ca9e6b4aef,-91020,-19440,0.0007184422613,718442261293574
0x1f4c3b0526799592f55f1cab8d9f98ca9e6b4aef,-69060,0,0,0
0x1f4c3b0526799592f55f1cab8d9f98ca9e6b4aef,-21960,-19440,0,0
0x1f83f19dda18c6efbfd49baebdbaf8314b4efcd4,-69060,0,1.213100357,1213100357166680000
0x1f8b0c990ae947d47703f784d66317ac2e24ca98,16080,23040,0.0001,100000000000000
0x21fad9bd053a5f3f5e33e1238303874e7284f143,-32220,-10980,0.000001001577306,1001577306298
0x225ffc9887f18831cfbaeeb42f216ab9590c303b,-76020,0,0.00001087985157,10879851574031
0x225ffc9887f18831cfbaeeb42f216ab9590c303b,-69060,0,0,0
0x225ffc9887f18831cfbaeeb42f216ab9590c303b,-6960,0,0,0
0x230695f1fadc1413fbd66d31b8c200c60d85268b,-76020,0,0.000004078378173,4078378172665
0x230695f1fadc1413fbd66d31b8c200c60d85268b,-69060,0,0,0
0x230695f1fadc1413fbd66d31b8c200c60d85268b,-6960,0,0,0
0x2309fcccf962a358e7b4e2de43662a846bb64067,-69060,0,0,0
0x23d405a64914cef0e44a812ca10669d37c568aca,-10980,-6960,0.000001,1000000000000
0x24621aa4dde07f04c57146d83468969010b7489e,-92580,-21060,0.000987013934,987013933981696
0x24621aa4dde07f04c57146d83468969010b7489e,-69060,0,0,0
0x24621aa4dde07f04c57146d83468969010b7489e,-23520,-21060,0,0
0x247b0021acf9fe9ddf5edf1fcfc82482536a5dad,-29940,-21960,0.00001994772798,19947727981096
0x26fdc242eccc144971e558ff458a4ec21b75d4e8,-92580,-20160,0.0008163758608,816375860758207
0x26fdc242eccc144971e558ff458a4ec21b75d4e8,-69060,0,0,0
0x26fdc242eccc144971e558ff458a4ec21b75d4e8,-23520,-20160,0,0
0x28f4e906bccb590ea44238a6755759583c51dfcf,-93900,0,0.0001034278494,103427849369840
0x28f4e906bccb590ea44238a6755759583c51dfcf,-69060,0,0,0
0x28f4e906bccb590ea44238a6755759583c51dfcf,-24840,0,0,0
0x29d0f83328a5c258cb4ece8c8965ddcec53f15c0,-76020,0,0.000004257189009,4257189009282
